2020-09-05 12:53:16.790 DEBUG    [detect_vehicles] Contour #73: pos=(x=574, y=288) size=(w=13, h=8) valid=False
2020-09-05 12:53:16.791 DEBUG    [detect_vehicles] Contour #74: pos=(x=1254, y=287) size=(w=7, h=7) valid=False
2020-09-05 12:53:16.791 DEBUG    [detect_vehicles] Contour #75: pos=(x=602, y=285) size=(w=7, h=7) valid=False
2020-09-05 12:53:16.791 DEBUG    [detect_vehicles] Contour #76: pos=(x=543, y=284) size=(w=11, h=10) valid=False
2020-09-05 12:53:16.791 DEBUG    [detect_vehicles] Contour #77: pos=(x=1260, y=261) size=(w=20, h=28) valid=False
2020-09-05 12:53:16.792 DEBUG    [detect_vehicles] Contour #78: pos=(x=1201, y=260) size=(w=7, h=9) valid=False
2020-09-05 12:53:16.792 DEBUG    [detect_vehicles] Contour #79: pos=(x=1110, y=248) size=(w=18, h=15) valid=False
2020-09-05 12:53:16.792 DEBUG    [detect_vehicles] Contour #80: pos=(x=1138, y=243) size=(w=52, h=28) valid=True
2020-09-05 12:53:16.793 DEBUG    [detect_vehicles] Contour #81: pos=(x=1069, y=238) size=(w=11, h=9) valid=False
2020-09-05 12:53:16.793 DEBUG    [detect_vehicles] Contour #82: pos=(x=239, y=232) size=(w=17, h=10) valid=False
2020-09-05 12:53:16.793 DEBUG    [detect_vehicles] Contour #83: pos=(x=315, y=231) size=(w=14, h=17) valid=False
2020-09-05 12:53:16.794 DEBUG    [detect_vehicles] Contour #84: pos=(x=712, y=230) size=(w=13, h=16) valid=False
2020-09-05 12:53:16.794 DEBUG    [detect_vehicles] Contour #85: pos=(x=1135, y=226) size=(w=10, h=10) valid=False
2020-09-05 12:53:16.794 DEBUG    [detect_vehicles] Contour #86: pos=(x=1188, y=219) size=(w=37, h=39) valid=True
2020-09-05 12:53:16.794 DEBUG    [detect_vehicles] Contour #87: pos=(x=103, y=219) size=(w=9, h=14) valid=False
2020-09-05 12:53:16.795 DEBUG    [detect_vehicles] Contour #88: pos=(x=1266, y=213) size=(w=14, h=10) valid=False
2020-09-05 12:53:16.795 DEBUG    [detect_vehicles] Contour #89: pos=(x=921, y=212) size=(w=8, h=8) valid=False
2020-09-05 12:53:16.795 DEBUG    [detect_vehicles] Contour #90: pos=(x=911, y=207) size=(w=7, h=7) valid=False
2020-09-05 12:53:16.796 DEBUG    [detect_vehicles] Contour #91: pos=(x=370, y=196) size=(w=9, h=7) valid=False
2020-09-05 12:53:16.796 DEBUG    [detect_vehicles] Contour #92: pos=(x=1245, y=190) size=(w=9, h=8) valid=False
2020-09-05 12:53:16.796 DEBUG    [detect_vehicles] Contour #93: pos=(x=370, y=182) size=(w=10, h=11) valid=False
2020-09-05 12:53:16.797 DEBUG    [detect_vehicles] Contour #94: pos=(x=685, y=174) size=(w=8, h=7) valid=False
2020-09-05 12:53:16.797 DEBUG    [detect_vehicles] Contour #95: pos=(x=628, y=170) size=(w=9, h=7) valid=False
2020-09-05 12:53:16.797 DEBUG    [detect_vehicles] Contour #96: pos=(x=437, y=170) size=(w=9, h=8) valid=False
2020-09-05 12:53:16.798 DEBUG    [detect_vehicles] Contour #97: pos=(x=1163, y=162) size=(w=15, h=8) valid=False
2020-09-05 12:53:16.798 DEBUG    [detect_vehicles] Contour #98: pos=(x=1146, y=161) size=(w=10, h=7) valid=False
2020-09-05 12:53:16.799 DEBUG    [detect_vehicles] Contour #99: pos=(x=426, y=154) size=(w=8, h=8) valid=False
2020-09-05 12:53:16.807 DEBUG    [detect_vehicles] Contour #100: pos=(x=384, y=154) size=(w=11, h=8) valid=False
2020-09-05 12:53:16.808 DEBUG    [detect_vehicles] Contour #101: pos=(x=1044, y=152) size=(w=10, h=11) valid=False
2020-09-05 12:53:16.809 DEBUG    [detect_vehicles] Contour #102: pos=(x=296, y=140) size=(w=24, h=38) valid=True
2020-09-05 12:53:16.809 DEBUG    [detect_vehicles] Contour #103: pos=(x=1031, y=133) size=(w=24, h=17) valid=False
2020-09-05 12:53:16.810 DEBUG    [detect_vehicles] Contour #104: pos=(x=441, y=122) size=(w=8, h=8) valid=False
2020-09-05 12:53:16.810 DEBUG    [detect_vehicles] Contour #105: pos=(x=1045, y=121) size=(w=11, h=11) valid=False
2020-09-05 12:53:16.810 DEBUG    [detect_vehicles] Contour #106: pos=(x=530, y=111) size=(w=7, h=7) valid=False
2020-09-05 12:53:16.810 DEBUG    [detect_vehicles] Contour #107: pos=(x=923, y=101) size=(w=7, h=8) valid=False
2020-09-05 12:53:16.811 DEBUG    [detect_vehicles] Contour #108: pos=(x=478, y=98) size=(w=7, h=7) valid=False
2020-09-05 12:53:16.811 DEBUG    [detect_vehicles] Contour #109: pos=(x=436, y=95) size=(w=15, h=14) valid=False
2020-09-05 12:53:16.811 DEBUG    [detect_vehicles] Contour #110: pos=(x=329, y=91) size=(w=12, h=13) valid=False
2020-09-05 12:53:16.812 DEBUG    [detect_vehicles] Contour #111: pos=(x=440, y=83) size=(w=11, h=11) valid=False
